DEBUG	2017-07-07 21:42:30,444	com.crawler.core.balancers.TwitterBalancer                  	TwitterBalancer preStart
DEBUG	2017-07-07 21:42:30,879	SimpleBalancer                                              	SimpleBalancer preStart
TRACE	2017-07-07 21:42:32,944	SimpleBalancer                                              	Got SimpleWorkerAdded akka.tcp://crawler@192.168.0.67:63977/user/CrawlerAgent/simple-worker-0#585069268
TRACE	2017-07-07 21:42:32,950	SimpleBalancer                                              	Got SimpleWorkerAdded akka.tcp://crawler@192.168.0.67:63977/user/CrawlerAgent/simple-worker-1#-1971869385
TRACE	2017-07-07 21:42:33,032	SimpleBalancer                                              	Got SimpleWorkerAdded akka.tcp://crawler@192.168.0.67:63977/user/CrawlerAgent/simple-worker-2#1299038533
TRACE	2017-07-07 21:42:33,051	SimpleBalancer                                              	Got SimpleWorkerAdded akka.tcp://crawler@192.168.0.67:63977/user/CrawlerAgent/simple-worker-3#939150176
TRACE	2017-07-07 21:42:33,062	SimpleBalancer                                              	Got SimpleWorkerAdded akka.tcp://crawler@192.168.0.67:63977/user/CrawlerAgent/simple-worker-4#1621876857
TRACE	2017-07-07 21:42:33,063	SimpleBalancer                                              	Got SimpleWorkerAdded akka.tcp://crawler@192.168.0.67:63977/user/CrawlerAgent/simple-worker-5#1098165718
DEBUG	2017-07-07 21:42:33,129	WorkerActor                                                 	Init balancer with sender=Actor[akka.tcp://crawler@192.168.0.67:2551/user/CrawlerMaster/SimpleBalancer#1073981041]
DEBUG	2017-07-07 21:42:33,160	WorkerActor                                                 	Init balancer with sender=Actor[akka.tcp://crawler@192.168.0.67:2551/user/CrawlerMaster/SimpleBalancer#1073981041]
DEBUG	2017-07-07 21:42:33,156	WorkerActor                                                 	Init balancer with sender=Actor[akka.tcp://crawler@192.168.0.67:2551/user/CrawlerMaster/SimpleBalancer#1073981041]
DEBUG	2017-07-07 21:42:33,165	WorkerActor                                                 	Init balancer with sender=Actor[akka.tcp://crawler@192.168.0.67:2551/user/CrawlerMaster/SimpleBalancer#1073981041]
DEBUG	2017-07-07 21:42:33,188	WorkerActor                                                 	Init balancer with sender=Actor[akka.tcp://crawler@192.168.0.67:2551/user/CrawlerMaster/SimpleBalancer#1073981041]
TRACE	2017-07-07 21:42:33,189	SimpleBalancer                                              	Got SimpleWorkerTaskRequest(SimpleWorkerTaskRequest(null))
